,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape,geom
0,1,1,FS-1418826,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,1,PNF-47,BJ8K,FOUNTAIN,,,,,,2005,2453403.5,33,1300,9.0,Miscellaneous,2453403.5,33.0,1730,0.1,A,40.03694444,-121.00583333,5.0,USFS,CA,63,063,Plumas,b'\x00\x01\xad\x10\x00\x00\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@|\x01\x00\x00\x00\xe8d\xc2\x92_@^\xc0\xe0\xc8l\x98\xba\x04D@\xfe',POINT (-121.00583333 40.03694444000007)
1,2,2,FS-1418827,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,13,13,AAC0,PIGEON,,,,,,2004,2453137.5,133,0845,1.0,Lightning,2453137.5,133.0,1530,0.25,A,38.93305556,-120.40444444,5.0,USFS,CA,61,061,Placer,b'\x00\x01\xad\x10\x00\x00T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@|\x01\x00\x00\x00T\xb6\xeej\xe2\x19^\xc0\x90\xc6U]nwC@\xfe',POINT (-120.40444444 38.93305556000007)
2,3,3,FS-1418835,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,27,021,A32W,SLACK,,,,,,2004,2453156.5,152,1921,5.0,Debris Burning,2453156.5,152.0,2024,0.1,A,38.98416667,-120.73555556,13.0,STATE OR PRIVATE,CA,17,017,El Dorado,"b'\x00\x01\xad\x10\x00\x00\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@|\x01\x00\x00\x00\xd0\xa5\xa0W\x13/^\xc0P\xbbf,\xf9}C@\xfe'",POINT (-120.73555556 38.98416667000004)
3,4,4,FS-1418845,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,43,6,,DEER,,,,,,2004,2453184.5,180,1600,1.0,Lightning,2453189.5,185.0,1400,0.1,A,38.55916667,-119.91333333,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@|\x01\x00\x00\x00\x94\xac\xa3\rt\xfa]\xc0\xe8T\x00\xc6\x92GC@\xfe',POINT (-119.9133333299999 38.55916667000002)
4,5,5,FS-1418847,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,44,7,,STEVENOT,,,,,,2004,2453184.5,180,1600,1.0,Lightning,2453189.5,185.0,1200,0.1,A,38.55916667,-119.93305556,5.0,USFS,CA,3,003,Alpine,b'\x00\x01\xad\x10\x00\x00@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@|\x01\x00\x00\x00@\xe3\xaa.\xb7\xfb]\xc0\xe8T\x00\xc6\x92GC@\xfe',POINT (-119.93305556 38.55916667000002)
5,6,6,FS-1418849,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,54,8,,HIDDEN,,,,,,2004,2453186.5,182,1800,1.0,Lightning,2453187.5,183.0,1600,0.1,A,38.63527778,-120.10361111,5.0,USFS,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@|\x01\x00\x00\x00\xf0<~\x90\xa1\x06^\xc0\xe0|D\xc8PQC@\xfe',POINT (-120.10361111 38.63527778000002)
6,7,7,FS-1418851,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,58,9,,FORK,,,,,,2004,2453187.5,183,1800,1.0,Lightning,2453188.5,184.0,1400,0.1,A,38.68833333,-120.15333333,5.0,USFS,CA,17,017,El Dorado,b'\x00\x01\xad\x10\x00\x00$o\x996\xd0\t^\xc0h\x8czN\x1bXC@$o\x996\xd0\t^\xc0h\x8czN\x1bXC@|\x01\x00\x00\x00$o\x996\xd0\t^\xc0h\x8czN\x1bXC@\xfe',POINT (-120.15333333 38.68833333000003)
7,8,8,FS-1418854,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,3,02,BK5X,SLATE,,,,,,2005,2453437.5,67,1300,5.0,Debris Burning,2453437.5,67.0,1600,0.8,B,40.96805556,-122.43388889,13.0,STATE OR PRIVATE,CA,,,,b'\x00\x01\xad\x10\x00\x00t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@|\x01\x00\x00\x00t)\xe8\xd5\xc4\x9b^\xc0\xa0t\x9d>\xe9{D@\xfe',POINT (-122.43388889 40.96805556000004)
8,9,9,FS-1418856,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,5,03,BLPQ,SHASTA,,,,,,2005,2453444.5,74,1200,5.0,Debris Burning,2453444.5,74.0,1700,1.0,B,41.23361111,-122.28333333,13.0,STATE OR PRIVATE,CA,,,,"b'\x00\x01\xad\x10\x00\x00\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@|\x01\x00\x00\x00\xdc\x8d\x1e""""\x92^\xc0X\xb7\x06\xf8\xe6\x9dD@\xfe'",POINT (-122.2833333299999 41.23361111000003)
9,10,10,FS-1418859,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,61,10,,TANGLEFOOT,,,,,,2004,2453187.5,183,1800,1.0,Lightning,2453188.5,184.0,1800,0.1,A,38.54833333,-120.14916667,5.0,USFS,CA,5,005,Amador,b'\x00\x01\xad\x10\x00\x00dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@|\x01\x00\x00\x00dS\\\xf2\x8b\t^\xc0\x18\xd4[\xc9/FC@\xfe',POINT (-120.1491666699999 38.54833333000005)
